Player:,Alex Smith,,,,,,,,,,,,,,,
Session:,Outdoor Range,,,,,,,,,,,,,,,
Exported:,05/12/2025,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Shot Number,Date,Club Type,Club Brand,Club Model,Ball Speed (mph),Club Speed (mph),Smash Factor,Launch Angle,Launch Direction,Spin Rate,Spin Axis,Apex (ft),Carry Distance (yds),Total Distance (yds),Side Carry (yds),Descent Angle
1,05/12/2025 10:02:13 AM,Driver,Titleist,TSR3,148.2,102.5,1.45,12.8,2.1 R,2450,3.2,88,232.4,251.0,8.4 R,38.2
2,05/12/2025 10:03:40 AM,Driver,Titleist,TSR3,145.6,101.8,1.43,13.5,1.4 L,2620,-2.1,92,228.0,247.6,12.1 L,39.0
3,05/12/2025 10:05:02 AM,Driver,Titleist,TSR3,150.1,103.0,1.46,12.2,0.8 R,2380,1.0,85,236.0,256.4,3.5 R,37.5
Average,,Driver,,,147.97,102.43,1.45,12.83,,2483,,88.3,232.13,251.67,,38.23
4,05/12/2025 10:09:21 AM,7 Iron,Callaway,Apex,118.4,84.2,1.41,18.9,0.5 L,6450,-1.5,96,168.2,176.0,2.2 L,45.1
5,05/12/2025 10:10:44 AM,7 Iron,Callaway,Apex,116.8,83.5,1.40,19.4,1.1 R,6720,2.4,99,164.6,171.8,4.0 R,46.0
Average,,7 Iron,,,117.6,83.85,1.41,19.15,,6585,,97.5,166.4,173.9,,45.55
6,05/12/2025 10:14:10 AM,Pitching Wedge,Callaway,Apex,98.5,75.0,1.31,26.0,0.2 R,8900,0.5,90,128.3,131.5,1.0 R,49.8
7,05/12/2025 10:15:33 AM,Pitching Wedge,Callaway,Apex,,74.2,,26.8,,,,,125.0,128.0,0.5 L,
8,05/12/2025 10:16:00 AM,,,,,,,,,,,,,,,
